Date,Value
2017-09-19,32.9374280979
2017-09-18,43.5734590139
2017-09-17,36.8093236343
2017-09-16,29.2403118704
2017-09-15,28.8379765103
2017-09-14,37.7402626239
2017-09-13,41.1465642934
2017-09-12,39.1261242033
2017-09-11,41.8618727368
2017-09-10,45.330997769
2017-09-09,37.0981926356
2017-09-08,44.6147384071
2017-09-07,38.6100088661
2017-09-06,44.320754645
2017-09-05,40.5388144641
2017-09-04,51.5095420634
2017-09-03,45.2698291343
2017-09-02,44.2872484408
2017-09-01,41.4521710393
2017-08-31,42.1217239653
2017-08-30,38.0987098377
2017-08-29,39.0685562607
2017-08-28,38.1799461433
2017-08-27,33.4580977132
2017-08-26,35.3857399993
2017-08-25,35.1071307559
2017-08-24,33.447185358
2017-08-23,30.0873175739
2017-08-22,29.6392219444
2017-08-21,36.1657474174
2017-08-20,34.0781114497
2017-08-19,29.1076896476
2017-08-18,32.4395672738
2017-08-17,31.2950262619
2017-08-16,30.5149581533
2017-08-15,31.4343300227
2017-08-14,31.958246436
2017-08-13,28.0729476206
2017-08-12,26.0279020048
2017-08-11,24.7995813174
2017-08-10,24.2251882922
2017-08-09,27.7150895905
2017-08-08,27.8367716353
2017-08-07,29.9453755975
2017-08-06,31.219582255
2017-08-05,28.6538187643
2017-08-04,24.2544947429
2017-08-03,26.1295513683
2017-08-02,39.8406904202
2017-08-01,24.9077350304
2017-07-31,29.4602390172
2017-07-30,27.323471378
2017-07-29,23.2182586092
2017-07-28,24.5681537469
2017-07-27,21.0323989655
2017-07-26,21.1827607239
2017-07-25,27.4178394023
2017-07-24,34.2574087823
2017-07-23,27.2899321116
2017-07-22,21.7292934868
2017-07-21,28.3811205289
2017-07-20,18.4211876644
2017-07-19,20.3632828846
2017-07-18,19.3552504756
2017-07-17,20.9545142473
2017-07-16,18.2450928042
2017-07-15,18.7740093079
2017-07-14,20.8122478228
2017-07-13,22.5907671119
2017-07-12,21.1347640712
2017-07-11,25.0797050046
2017-07-10,25.375709751
2017-07-09,26.1615176171
2017-07-08,21.3790835071
2017-07-07,23.3803352489
2017-07-06,23.0781398078
2017-07-05,22.4521121831
2017-07-04,24.3558346879
2017-07-03,24.3558346879
2017-07-02,32.4245281174
2017-07-01,21.149025801
2017-06-30,20.2778838804
2017-06-29,21.6979699729
2017-06-28,19.4403848565
2017-06-27,20.0014799866
2017-06-26,24.7969420205
2017-06-25,24.3064024534
2017-06-24,24.3886818592
2017-06-23,22.0926165409
2017-06-22,21.0926624674
2017-06-21,21.606099543
2017-06-20,22.0676230677
2017-06-19,25.0368323576
2017-06-18,23.936005624
2017-06-17,20.3210444037
2017-06-16,19.5629673929
2017-06-15,18.7561544785
2017-06-14,21.1164230664
2017-06-13,22.1954984651
2017-06-12,28.9831243123
2017-06-11,24.0290415276
2017-06-10,23.4775259734
2017-06-09,23.2024410679
2017-06-08,21.4203411951
2017-06-07,23.2556515201
2017-06-06,23.503688307
2017-06-05,23.2139449257
2017-06-04,24.3679195695
2017-06-03,20.6757352841
2017-06-02,20.217534733
2017-06-01,18.6239844508
2017-05-31,18.1852083599
2017-05-30,16.858043357
2017-05-29,17.6779335513
2017-05-28,15.951717804
2017-05-27,15.8084363445
2017-05-26,17.2939697342
